letter	frequency
pakistan	9
love	12
campaign	8
econom	2
corrupt	22
protest	5
kill	2
victim	2
vote	12
elect	7
poll	8
rape	10
voter	2
congress	58
support	9
attack	5
state	29
speech	5
public	8
sonia	39
minist	31
secular	4
muslim	5
terrorist	1
modi	71
women	6
death	2
youth	4
countri	21
