letter	frequency
pakistan	1154
elect	2548
campaign	1089
terrorist	1341
econom	728
corrupt	1619
protest	707
kill	2801
victim	725
vote	4166
love	1700
poll	1110
rape	1454
voter	2432
congress	10416
support	3701
state	3382
attack	2194
speech	2430
public	1592
sonia	3895
minist	2259
secular	2655
muslim	4039
death	1237
countri	2132
women	1323
youth	1348
modi	17800
