letter	frequency
pakistan	796
love	2165
campaign	1463
terrorist	627
vote	7412
protest	2092
kill	1390
victim	636
corrupt	3917
elect	3305
poll	1898
rape	954
death	1279
congress	9911
support	6933
econom	916
state	3400
speech	2110
attack	1965
public	2382
sonia	1569
minist	4617
secular	979
muslim	1903
voter	1585
modi	16318
women	3022
youth	1011
countri	2161
