letter	frequency
pakistan	2
love	13
campaign	1
econom	8
vote	7
protest	5
kill	7
victim	1
corrupt	18
elect	17
poll	12
voter	1
terrorist	3
minist	13
support	26
state	21
attack	7
speech	42
public	13
sonia	27
congress	69
secular	13
muslim	7
death	3
countri	43
women	6
youth	48
modi	75
