letter	frequency
pakistan	918
elect	2071
campaign	943
death	1089
protest	892
kill	3101
victim	655
vote	2715
love	1683
poll	941
rape	603
voter	542
congress	10101
support	3047
econom	761
state	3317
speech	1256
attack	2055
public	1227
sonia	2810
minist	1760
secular	3389
muslim	4852
terrorist	2962
countri	1942
women	1253
youth	847
modi	13032
corrupt	1222
