letter	frequency
pakistan	531
elect	3074
campaign	1376
corrupt	2592
protest	1384
kill	1371
victim	627
vote	5006
love	1666
poll	1820
rape	833
voter	1160
minist	2772
support	5609
econom	932
attack	1634
speech	2091
public	1576
sonia	3125
congress	9363
state	4041
secular	1165
muslim	2267
terrorist	472
countri	1593
women	1916
death	965
youth	1222
modi	20330
