letter	frequency
pakistan	837
love	1477
campaign	1795
vote	4631
protest	771
kill	1559
victim	2465
corrupt	1698
elect	2740
poll	2433
rape	2713
voter	935
minist	1930
support	3932
econom	415
state	2803
speech	1675
attack	1646
public	2385
sonia	2665
congress	11810
secular	1445
muslim	1991
terrorist	966
countri	1185
women	2352
death	599
youth	667
modi	14667
