letter	frequency
pakistan	3
love	3
campaign	1
corrupt	4
protest	3
kill	2
vote	6
elect	4
poll	4
rape	1
death	2
minist	8
support	12
econom	1
attack	2
speech	1
public	4
sonia	10
congress	15
state	9
secular	24
muslim	7
modi	32
youth	2
countri	16
