letter	frequency
pakistan	28
love	57
campaign	23
corrupt	18
protest	13
kill	28
victim	19
vote	45
elect	39
poll	14
rape	14
voter	8
death	9
minist	83
support	58
econom	20
attack	30
speech	49
public	16
sonia	10
congress	59
state	52
secular	46
muslim	99
terrorist	8
modi	402
women	42
youth	7
countri	50
