letter	frequency
pakistan	35
love	31
campaign	10
terrorist	41
econom	8
corrupt	4
protest	11
kill	32
victim	9
vote	36
elect	46
poll	10
rape	11
voter	3
congress	69
support	41
attack	31
state	50
speech	10
public	20
sonia	12
minist	28
secular	26
muslim	34
death	8
countri	20
women	16
youth	6
modi	74
