letter	frequency
pakistan	12
love	31
campaign	8
terrorist	5
econom	9
vote	73
protest	4
kill	10
victim	1
corrupt	16
elect	52
poll	42
rape	1
voter	10
minist	15
support	41
state	26
attack	17
speech	12
public	19
sonia	6
congress	35
secular	6
muslim	16
death	5
countri	10
women	12
youth	2
modi	73
