letter	frequency
pakistan	2511
elect	1684
campaign	765
econom	1225
death	775
protest	926
kill	2786
victim	507
vote	2798
love	1705
poll	594
rape	1706
terrorist	1221
congress	8437
support	2997
state	4068
attack	2184
speech	2698
public	1224
sonia	4605
minist	2387
secular	2368
muslim	3428
voter	778
countri	2375
women	1679
youth	1051
modi	10501
corrupt	1419
