letter	frequency
pakistan	79
elect	146
campaign	65
terrorist	48
econom	49
vote	254
protest	13
kill	117
victim	19
corrupt	64
love	81
poll	75
rape	26
voter	31
congress	267
support	142
attack	47
state	121
speech	39
public	62
sonia	44
minist	102
secular	51
muslim	100
death	56
modi	519
women	80
youth	17
countri	73
