letter	frequency
pakistan	1266
elect	6288
campaign	2921
econom	1016
corrupt	2577
protest	1550
kill	1793
victim	555
vote	8469
love	1819
poll	2565
rape	660
voter	2048
death	783
minist	1955
support	8178
attack	3601
state	2968
speech	1462
public	2099
sonia	3027
congress	11423
secular	2155
muslim	3787
terrorist	948
countri	1727
women	3383
youth	834
modi	26436
