letter	frequency
pakistan	1
love	10
campaign	30
terrorist	4
vote	23
protest	4
kill	7
victim	1
corrupt	35
elect	29
poll	17
rape	2
death	3
minist	22
support	17
econom	11
state	58
speech	8
attack	7
public	23
sonia	20
congress	192
secular	4
muslim	10
voter	6
countri	22
women	3
youth	8
modi	87
