letter	frequency
pakistan	19
elect	74
campaign	44
terrorist	19
corrupt	56
protest	38
kill	55
victim	18
vote	91
love	53
poll	23
rape	36
death	43
congress	222
support	141
econom	17
state	123
speech	143
attack	43
public	94
sonia	59
minist	88
secular	93
muslim	98
voter	18
modi	567
women	105
youth	15
countri	75
