letter	frequency
pakistan	19
love	23
campaign	14
econom	12
vote	27
protest	6
kill	34
victim	8
corrupt	9
elect	28
poll	12
rape	11
voter	3
terrorist	31
minist	32
support	28
state	26
attack	23
speech	25
public	13
sonia	9
congress	48
secular	20
muslim	31
death	13
countri	14
women	26
youth	6
modi	94
