letter	frequency
pakistan	22
elect	49
campaign	20
terrorist	18
corrupt	8
protest	5
kill	21
victim	15
vote	48
love	40
poll	15
rape	35
voter	6
congress	64
support	60
econom	11
state	55
speech	12
attack	23
public	25
sonia	11
minist	55
secular	17
muslim	68
death	22
modi	219
women	56
youth	7
countri	39
