letter	frequency
pakistan	1077
love	1785
campaign	3882
terrorist	590
econom	673
vote	22637
protest	510
kill	1548
victim	342
corrupt	1602
elect	6834
poll	5189
rape	1066
voter	5577
minist	1688
support	6019
attack	2614
state	3296
speech	1528
public	1845
sonia	6155
congress	12766
secular	4322
muslim	6464
death	637
modi	32694
women	2323
youth	1075
countri	2165
