letter	frequency
pakistan	674
love	1873
campaign	1592
terrorist	538
vote	8845
protest	1122
kill	1392
victim	773
corrupt	3268
elect	4267
poll	3338
rape	786
death	633
minist	1936
support	8192
econom	764
state	4383
speech	1287
attack	1096
public	1820
sonia	2984
congress	14342
secular	1548
muslim	2465
voter	2290
modi	14152
women	1444
youth	540
countri	1527
