letter	frequency
pakistan	3
elect	10
campaign	1
vote	17
protest	3
kill	4
victim	3
corrupt	12
love	2
poll	5
rape	2
voter	1
death	7
congress	38
support	8
econom	11
attack	6
speech	11
public	6
sonia	9
minist	20
state	31
secular	7
muslim	10
terrorist	5
modi	38
women	1
youth	10
countri	22
