letter	frequency
pakistan	2
love	3
campaign	2
econom	2
vote	2
protest	1
kill	2
victim	1
corrupt	3
rape	3
death	2
minist	2
support	7
attack	1
state	4
public	4
congress	5
secular	4
muslim	2
countri	3
women	4
modi	7
