letter	frequency
pakistan	91
love	86
campaign	16
vote	36
protest	14
kill	72
victim	33
corrupt	24
elect	58
poll	28
rape	65
terrorist	30
minist	100
support	90
econom	28
state	89
speech	122
attack	28
public	63
sonia	38
congress	119
secular	80
muslim	133
voter	7
modi	411
women	60
death	26
youth	11
countri	52
