letter	frequency
pakistan	54
love	99
campaign	21
death	34
protest	58
kill	86
victim	20
vote	54
elect	63
poll	9
rape	74
voter	7
congress	175
support	122
econom	41
state	126
speech	60
attack	53
public	70
sonia	66
minist	110
secular	80
muslim	149
terrorist	46
modi	279
women	74
youth	24
countri	83
corrupt	18
