letter	frequency
pakistan	16
love	15
campaign	8
vote	20
protest	4
kill	15
victim	2
corrupt	8
elect	28
poll	7
rape	7
voter	7
terrorist	10
congress	49
support	22
econom	17
state	25
speech	27
attack	5
public	9
sonia	10
minist	35
secular	6
muslim	18
death	2
modi	117
women	8
youth	33
countri	13
