letter	frequency
pakistan	24
love	62
campaign	114
terrorist	81
corrupt	85
protest	46
kill	128
victim	57
vote	152
elect	151
poll	87
rape	35
voter	36
minist	183
support	244
econom	69
state	220
speech	69
attack	79
public	115
sonia	146
congress	499
secular	113
muslim	151
death	36
countri	91
women	70
youth	80
modi	1022
