letter	frequency
pakistan	50
elect	96
campaign	21
corrupt	37
protest	43
kill	109
victim	24
vote	77
love	119
poll	10
rape	102
voter	19
death	54
minist	254
support	160
econom	38
state	153
speech	66
attack	57
public	72
sonia	89
congress	171
secular	38
muslim	117
terrorist	22
countri	86
women	87
youth	23
modi	468
