letter	frequency
pakistan	355
love	699
campaign	1283
terrorist	174
econom	114
vote	2634
protest	220
kill	545
victim	118
corrupt	345
elect	2087
poll	1676
rape	140
voter	762
congress	3231
support	1347
attack	450
state	913
speech	495
public	443
sonia	995
minist	1033
secular	764
muslim	1248
death	196
modi	9384
women	501
youth	192
countri	558
