letter	frequency
pakistan	8
love	15
campaign	5
corrupt	9
protest	17
kill	48
victim	19
vote	29
elect	32
poll	5
rape	13
voter	7
death	30
minist	46
support	30
econom	13
state	62
speech	31
attack	17
public	26
sonia	28
congress	77
secular	25
muslim	45
terrorist	32
modi	128
women	33
youth	24
countri	24
