letter	frequency
pakistan	5
love	4
campaign	5
vote	6
protest	20
kill	3
victim	3
corrupt	14
elect	10
poll	6
death	4
minist	32
support	33
econom	4
state	55
speech	7
attack	10
public	10
sonia	11
congress	60
secular	3
muslim	9
modi	78
women	16
youth	11
countri	22
