letter	frequency
pakistan	26
love	45
campaign	33
corrupt	37
protest	60
kill	64
victim	23
vote	71
elect	93
poll	13
rape	42
terrorist	27
congress	216
support	110
econom	48
attack	36
speech	109
public	68
sonia	73
minist	76
state	101
secular	51
muslim	105
voter	9
countri	87
women	147
death	22
youth	41
modi	555
