letter	frequency
pakistan	1137
love	1612
campaign	1145
econom	456
vote	3311
protest	485
kill	1865
victim	491
corrupt	1473
elect	2251
poll	999
rape	377
terrorist	1017
congress	9486
support	2893
attack	1152
state	3092
speech	2436
public	1444
sonia	2275
minist	1675
secular	1845
muslim	2940
voter	1224
countri	1320
women	1195
death	706
youth	946
modi	13257
