letter	frequency
pakistan	29
love	18
campaign	56
econom	10
vote	144
protest	28
kill	4
victim	10
corrupt	37
elect	117
poll	25
rape	30
voter	28
minist	100
support	51
attack	14
state	109
speech	34
public	74
sonia	171
congress	433
secular	7
muslim	13
terrorist	5
modi	329
women	59
death	15
youth	30
countri	45
