letter	frequency
pakistan	34
love	54
campaign	69
terrorist	23
econom	29
corrupt	145
protest	23
kill	43
victim	11
vote	164
elect	174
poll	67
rape	3
death	31
minist	153
support	163
attack	58
state	149
speech	92
public	136
sonia	118
congress	328
secular	58
muslim	104
voter	27
modi	487
women	66
youth	44
countri	67
